,koi_pdisposition,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_prad,koi_teq,koi_insol,koi_dor,koi_num_transits,koi_steff,koi_slogg,koi_srad,koi_smass
5010,1,0.98,12.462,169.3,0.016821,0.0019399999999999999,1.63,627.0,36.63,3.34,71.0,5418.0,4.436,0.889,0.788
5011,0,1.026,3.2637099999999997,81096.0,0.46593900000000005,24.98125,38.01,363.0,4.1,219.91,12.0,5777.0,4.6080000000000005,0.747,0.832
5012,0,0.099,19.7301,43252.0,0.192307,0.16602999999999998,49.2,666.0,46.58,41.451,15.0,6523.0,3.835,2.343,1.371
5013,0,0.583,2.824,57.4,0.007174,0.20786,0.64,1737.0,2149.06,1.851,1762.0,5481.0,4.574,0.815,0.914
5014,0,1.225,8.479,178.1,0.23628000000000002,0.00297,37.39,671.0,47.85,6.54,30.0,6200.0,4.135,1.449,1.043
5015,0,0.507,6.7631,398640.0,0.650096,1.656,78.3,792.0,93.1,27.782,52.0,6137.0,4.418,1.103,1.165
5016,0,0.802,2.76441,34086.0,0.194303,2.50279,15.49,661.0,45.03,22.07,73.0,4842.0,4.573,0.73,0.729
5017,0,0.845,4.25512,176740.0,0.539549,0.47263999999999995,55.44,1680.0,1880.22,4.3653,380.0,6413.0,4.372,0.941,0.76
5018,0,0.465,4.801880000000001,423280.0,0.662324,1.01063,92.5,1564.0,1414.18,8.1532,0.0,6516.0,4.249,1.279,1.055
5019,0,0.909,23.27,1157.2,0.037443000000000004,0.03125,3.66,242.0,0.81,61.2,4.0,5800.0,4.513999999999999,0.894,0.951
5020,1,0.751,1.622,586.7,0.024186000000000003,3.82217,1.51,644.0,40.66,18.74,176.0,4402.0,4.6819999999999995,0.572,0.575
5021,0,13.376,2.4032,58858.0,12.633445,46.65963,1543.74,1645.0,1728.2,22.1,585.0,6124.0,4.265,1.119,0.839
5022,1,0.32,2.252,209.6,0.013212,2.3984,1.68,1238.0,555.71,11.89,368.0,5533.0,4.275,1.166,0.934
5023,1,0.562,6.53,180.4,0.012762,0.69206,1.54,613.0,33.43,37.6,34.0,6370.0,4.41,1.106,1.148
5024,1,0.977,4.857,117.0,0.013498,0.02155,1.53,783.0,88.9,6.19,91.0,5929.0,4.4030000000000005,1.04,1.0
5025,1,0.692,4.388,108.6,0.010165,0.25129,1.92,1378.0,851.73,8.01,220.0,6263.0,4.024,1.726,1.147
5026,1,0.382,2.446,354.4,0.017349,6.238230000000001,1.49,675.0,48.99,38.0,101.0,5530.0,4.586,0.788,0.882
5027,1,0.25,4.388,406.8,0.018302000000000002,3.4991800000000004,2.2,561.0,23.35,62.6,37.0,5566.0,4.329,1.099,0.938
5028,0,1.309,3.5939,75468.0,0.6887979999999999,12.92261,149.98,707.0,59.16,132.8,23.0,6379.0,3.925,1.994,1.222
5029,1,0.43,3.882,220.1,0.01375,1.3972,2.24,952.0,194.3,22.6,107.0,5821.0,4.127,1.492,1.088
5030,1,0.682,11.282,136.4,0.011351,0.09953,1.7,651.0,42.54,20.56,35.0,6297.0,4.26,1.369,1.247
5031,1,0.171,2.286,335.6,0.016454,63.90005,3.46,509.0,15.86,301.0,15.0,5115.0,3.819,1.924,0.891
5032,1,0.491,5.2,310.8,0.016638,1.69685,13.01,1640.0,1708.38,52.5,37.0,7852.0,3.159,7.162,2.697
5033,1,0.956,10.28,1040.7,0.038304000000000005,0.13652999999999998,4.2,291.0,1.7,79.8,5.0,5792.0,4.375,1.005,0.875
5034,0,0.503,7.998,49.4,0.006540000000000001,0.02565,0.77,1578.0,1465.41,1.48,824.0,5611.0,4.388,1.073,1.026
5035,0,0.899,11.919,2177.6,0.050079000000000005,0.07124,8.02,558.0,22.89,31.09,16.0,6860.0,4.2330000000000005,1.467,1.35
5036,0,0.709,3.188,100.9,0.009837,2.1618,1.5,760.0,78.93,38.4,48.0,5915.0,4.223,1.392,1.183
5037,1,0.216,5.6707,191.8,0.012888,0.062479999999999994,4.52,3871.0,52952.95,1.536638,1282.0,7673.0,3.679,3.214,1.799
5038,1,0.266,7.259,345.5,0.016994,0.97501,2.03,531.0,18.74,48.3,31.0,5856.0,4.386,1.092,1.057
5039,1,0.923,6.134,146.2,0.013591999999999998,0.04774,1.72,753.0,75.96,9.21,75.0,5808.0,4.3260000000000005,1.159,1.038
